Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
102	fg3_m15	1	1.17	5	1	0.0	0.0	0.5062533015609123	-1.8539090628472796	2.9640511278268398	0.03711869239032228	0.010128244400157452	1.1028	0.12709850899398814	26	0.51	0.03	0.05	16.66	0.69	0.48	1.06	3.23	0.68	0.48	763	12.8	10.09	99.58	0.03	-1.09	81.23	23.55	0.67	0.31	0.03	0.67	-0.67
103	fg3_m15	1	1.47	5	1	0.0	0.0	0.4898112742765748	-1.8755242071465663	3.0384723538151928	0.030174239578230094	0.009660781429041709	1.1703	0.1565594994328151	33	2.2	0.03	0.04	8.1	0.7	0.56	5.35	15.3	0.68	0.77	758	14.24	3.44	99.21	0.0	-1.08	81.49	23.8	0.59	0.35	0.0	0.59	1.84
104	fg3_m15	1	1.76	5	1	0.0	0.0	0.5303441531898523	-1.8673325714146265	3.0609699178537326	-0.0090535631816294	4.927814171892704e-06	1.1740000000000002	0.09311673359808527	40	2.39	0.02	0.04	15.51	0.7	0.53	0.64	1.87	0.68	0.48	736	13.76	3.99	101.65	0.02	-1.17	81.71	24.25	0.58	0.03	0.02	0.58	-0.37
105	fg3_m15	1	2.05	5	1	0.0	0.0	0.5187042783417282	-1.912774209604448	3.1275755635654185	-0.019913557168144573	-0.0006457040578876973	1.2313	0.12781904049025086	47	2.9	0.02	0.03	7.11	0.7	0.56	9.44	17.79	0.68	0.77	746	14.51	1.64	98.01	-0.06	-1.1	82.13	23.16	0.74	-0.01	0.06	0.74	0.34
106	fg3_m15	1	2.35	5	1	0.0	0.0	0.45942945254902506	-1.8593936883386732	3.069265891308148	-0.03811855684366836	-0.004064324105496198	1.1744	0.08018583458218494	54	0.56	0.02	0.04	8.11	0.71	0.6	14.0	15.46	0.68	0.77	987	15.08	0.66	110.03	-0.03	-1.37	77.13	21.77	1.06	0.94	0.03	1.06	-0.11
107	fg3_m15	1	2.64	5	2	10.492726293008904	5.905817195608416	0.5094583935451434	-1.3959049328962314	2.969899515071007	0.22173310366359344	0.00965401369404379	0.9615	0.4791829534239317	61	10.23	0.07	0.08	24.06	0.61	0.58	6.63	9.3	1.36	0.48	826	15.41	3.72	128.68	-0.24	-1.26	108.29	24.49	0.26	-0.51	0.24	0.26	-0.11
108	fg3_m15	1	2.93	5	1	0.0	0.0	0.5553867048898411	-1.734762621585167	3.3127343235922533	0.05289565767358263	0.005709910686961778	1.2006	0.16525259770398876	68	0.26	0.02	0.03	7.98	0.64	0.65	15.32	23.08	0.96	0.77	822	15.16	0.86	108.5	-0.02	-1.4	93.83	18.49	0.76	0.44	0.02	0.76	0.84
109	fg3_m15	1	3.13	5	2	5.815189605894217	7.544665679369046	0.5459542871866478	-0.8644203213019754	3.4267296047711278	0.19388386881114225	0.02107264232119473	1.193	0.4534762525244261	75	1.03	0.02	0.04	11.67	0.71	0.69	13.81	16.6	3.39	0.77	1144	21.58	2.48	126.46	0.01	-1.47	105.45	38.94	1.99	3.64	0.01	1.99	0.55
115	fg3_m15	0	4.29	5	1	0.0	0.0	0.5583938251988755	-1.9338063909700705	3.1775162780047785	-0.03650344693383071	7.136477514360852e-05	1.3461	0.10774681638826544	117	2.37	0.04	0.03	11.36	0.56	0.61	23.09	43.06	0.68	0.48	687	13.67	19.16	91.23	0.03	-1.09	107.4	19.42	0.68	0.04	0.03	0.68	0.05
116	fg3_m15	0	4.49	5	1	0.0	0.0	0.5623751713090631	-1.8919091557493048	3.298805220518381	-0.04022095145723164	-0.007947408675671773	1.3024	0.15809688717782472	124	0.68	0.03	0.03	8.82	0.56	0.65	4.92	8.16	0.68	0.77	638	13.93	6.23	92.38	0.04	-1.13	109.55	19.27	0.47	-0.29	0.04	0.47	-0.01
